id	internal_title	primary_axis	concept
q001	Quiet Field	observer-dependent-dynamics	Shy pieces advance around visible tracks only while occluded; bold pieces advance only while observed, so the player positions an eye and shutters to synchronize both kinds on sockets.
q002	Afterimage Mill	observer-dependent-dynamics	Hidden mills repeat the orientation in which they were last seen, making observation a write operation and occlusion the execution trigger.
q003	Blind Growth	observer-dependent-dynamics	Branching organisms grow only outside the observer cone; deliberate glimpses prune active tips and shape a path without touching the organism.
q004	Witness Queue	observer-dependent-dynamics	Tokens commit to a branch only when a junction is watched, but travel between junctions only when unseen, requiring alternating supervision and trust.
q005	Lantern Census	observer-dependent-dynamics	Creatures replicate when hidden and merge when illuminated; the target is a spatially displayed population distributed among enclosures.
q006	Shadow Cargo	observer-dependent-dynamics	Cargo transfers between paired pockets only while both endpoints are unobserved, while watched pockets lock and can serve as temporary storage.
q007	Still Guards	observer-dependent-dynamics	Guards patrol while unseen and freeze under observation, whereas gates decay only while watched; crossing safely requires trading attention between threats and infrastructure.
q008	Veiled Orchestra	observer-dependent-dynamics	Several cyclic mechanisms advance on a pulse only when their local conductor is occluded, and the player must align their phases without seeing every transition.
q009	Peripheral Current	observer-dependent-dynamics	Objects inside a movable focus radius freeze while objects in the periphery flow, turning the boundary of attention into the main control surface.
q010	Shared Blindspot	observer-dependent-dynamics	Two movable observers jointly control pieces that respond to visibility by neither, either, or both observers, creating a small Boolean geometry of attention.
q011	Courtesy Lines	social-inference	Autonomous walkers have stable yielding preferences; the player must infer who yields to whom and arrange encounters that untangle a crowded crossing.
q012	Private Appetites	social-inference	Visually similar agents prefer different resource shapes, and only their choices reveal preferences needed for a later fair allocation.
q013	Signal Camp	social-inference	A partner reacts to nonverbal spatial signals with an unknown but consistent policy that must be grounded through low-cost demonstrations before a joint route.
q014	Flock Vote	social-inference	A group chooses its next corridor from recent gestures under an unknown aggregation rule, requiring inference of how individual signals become collective action.
q015	Reciprocal Hands	social-inference	Helpers remember whether the player recently assisted or obstructed them and reciprocate under a short, legible update rule.
q016	Blind Guide	social-inference	The controlled body cannot perceive hazards, while an autonomous guide can and expresses safe directions through movement rather than symbols.
q017	Mimic or Seeker	social-inference	Some agents copy the player and others pursue latent destinations; efficient coordination depends on distinguishing imitation from goal-directed behavior.
q018	Exchange Circle	social-inference	Agents accept and reject shape bundles according to hidden partial orders, so the player must infer preferences and complete a cycle of mutually acceptable trades.
q019	Apprentice Path	social-inference	The player demonstrates a route to an apprentice whose imitation rule is incomplete, then adapts the lesson so the apprentice can finish alone.
q020	Crowd Current	social-inference	Pedestrians follow one of several local social rules such as alignment, avoidance, or attraction; the player reshapes the crowd after identifying which rule is active.
q021	Switchboard Diagnosis	causal-intervention	An unseen wiring graph connects levers to lamps and gates; a small intervention budget forces experiments that distinguish several candidate graphs at once.
q022	Counterweight Lab	causal-intervention	Moving one weight changes multiple platforms with unknown signs and ratios, and the player must identify the coupling before an irreversible loading phase.
q023	Broken Symmetry	causal-intervention	Four visually symmetric machines hide one asymmetric causal link; carefully chosen probes expose the defect without testing every machine separately.
q024	Last Probe	causal-intervention	A finite bank of safe probes is followed by a single commit action, isolating experiment design from execution.
q025	Latent Gearbox	causal-intervention	Turning any gear may drive several distant gears through hidden clutches, and only interventions reveal which apparent contacts actually transmit force.
q026	Controlled Cascade	causal-intervention	The player chooses one seed and one barrier placement in a propagating field to produce an exact terminal pattern rather than merely a large reaction.
q027	Proxy Lever	causal-intervention	A lever affects whichever object currently occupies a hidden role, so interventions must separate object identity from causal position.
q028	Causal Quilt	causal-intervention	Local patches obey one of a few transformation laws; sparse probes must identify boundaries between laws before a global activation.
q029	Fuse Map	causal-intervention	Cutting a connection is irreversible but reveals downstream flow, requiring a diagnostic sequence that preserves the one circuit needed for the goal.
q030	Antidote Network	causal-intervention	Treating one node suppresses its neighbors and strengthens nodes two links away, so the player must infer the network from interventions before curing the exact target set.
q031	Split Vessel	conservation-law-induction	Unknown machines split and merge a continuous-looking quantity while conserving total area, and the player routes exact shares into several receivers.
q032	Parity Forge	conservation-law-induction	Pairwise transformations preserve an unseen parity class represented spatially, and the goal is reachable only after discovering the invariant.
q033	Color Exchange	conservation-law-induction	Objects swap components rather than recolor independently, so every gain implies a loss elsewhere and planning requires global bookkeeping.
q034	Area Keeper	conservation-law-induction	Shapes stretch, fold, and shear while preserving filled area; sockets care about area rather than silhouette.
q035	Momentum Bank	conservation-law-induction	Collisions redistribute directional motion among bodies, and the player must store and recover momentum to move a heavy object.
q036	Loop Current	conservation-law-induction	Flow divides across loops but the circulation sum remains fixed, letting the player infer invisible current from local indicators.
q037	Hole Count	conservation-law-induction	Allowed transformations change shape but preserve or predictably alter connected holes, making topology rather than pixel match the relevant invariant.
q038	Balance Web	conservation-law-induction	Adding mass to one node redistributes tension across a network with conserved total load and local capacity constraints.
q039	Charge Pairs	conservation-law-induction	Opposite charges are created and consumed only in pairs, and gates respond to net local charge rather than object count.
q040	Mass Shadow	conservation-law-induction	Visible silhouettes change with orientation while hidden mass stays constant, requiring the player to reconcile several projections before balancing platforms.
q041	Keyhole Budget	epistemic-resource-allocation	A movable aperture can reveal only a few cells per use, so the player chooses observations that identify a route instead of exhaustively exposing the board.
q042	Sonar Pips	epistemic-resource-allocation	Limited pulses reveal distance rings but not direction directly; combining a few well-placed readings locates hidden obstacles.
q043	Sampling Cart	epistemic-resource-allocation	A cart can sample the material beneath selected cells a fixed number of times before building a route over a heterogeneous floor.
q044	Memory Camera	epistemic-resource-allocation	Taking a snapshot preserves one region after it disappears, but a tiny snapshot bank forces the player to decide which evidence will matter later.
q045	Scout Drones	epistemic-resource-allocation	Disposable scouts reveal corridors until blocked, and choosing launch points determines whether enough map information survives for the main agent.
q046	One Question	epistemic-resource-allocation	Each room permits one binary physical test whose outcome partitions several possible rule sets; later rooms demand increasingly informative tests.
q047	Sensor Auction	epistemic-resource-allocation	Different sensors cost different amounts and reveal range, material, motion, or connectivity, so the player buys a minimal evidence set before acting.
q048	Reveal Paint	epistemic-resource-allocation	Finite paint makes hidden boundaries visible permanently, turning information gathering into a spatial allocation problem.
q049	Confidence Door	epistemic-resource-allocation	The player may open a gate after any probe, but a wrong commitment destroys progress; optimal play stops when evidence is sufficient rather than exhausted.
q050	Compression Cabinet	epistemic-resource-allocation	Only a few observed patterns can be stored as reusable tiles, forcing selection of abstractions that explain later transformations.
q051	Scaffold	tool-construction	Loose struts can be joined into rigid shapes whose geometry determines what gaps can be crossed and what loads can be supported.
q052	Lens Bench	tool-construction	Curved and flat fragments are assembled into an optical tool that redirects a beam according to the constructed surface, not a predefined tool type.
